dataset_name,task_type,error_injected_label,clean_or_corrupted,result
healthcare_dataset,webpage_generation,1,clean,0
healthcare_dataset,webpage_generation,1,corrupted,2
healthcare_dataset,webpage_generation,2,clean,0
healthcare_dataset,webpage_generation,2,corrupted,0
healthcare_dataset,webpage_generation,3,clean,0
healthcare_dataset,webpage_generation,3,corrupted,0
healthcare_dataset,ml_inference_regression,1,clean,1
healthcare_dataset,ml_inference_regression,1,corrupted,1
healthcare_dataset,ml_inference_regression,2,clean,1
healthcare_dataset,ml_inference_regression,2,corrupted,1
healthcare_dataset,ml_inference_regression,3,clean,1
healthcare_dataset,ml_inference_regression,3,corrupted,2
healthcare_dataset,sql_query,1,clean,0
healthcare_dataset,sql_query,1,corrupted,1
healthcare_dataset,sql_query,2,clean,0
healthcare_dataset,sql_query,2,corrupted,1
healthcare_dataset,sql_query,3,clean,0
healthcare_dataset,sql_query,3,corrupted,0
healthcare_dataset,ml_inference_classification,1,clean,1
healthcare_dataset,ml_inference_classification,1,corrupted,3
healthcare_dataset,ml_inference_classification,2,clean,1
healthcare_dataset,ml_inference_classification,2,corrupted,2
healthcare_dataset,ml_inference_classification,3,clean,1
healthcare_dataset,ml_inference_classification,3,corrupted,2
playground-series-s4e10,ml_inference_regression,1,clean,1
playground-series-s4e10,ml_inference_regression,1,corrupted,2
playground-series-s4e10,ml_inference_regression,2,clean,1
playground-series-s4e10,ml_inference_regression,2,corrupted,4
playground-series-s4e10,ml_inference_regression,3,clean,1
playground-series-s4e10,ml_inference_regression,3,corrupted,3
playground-series-s4e10,sql_query,1,clean,0
playground-series-s4e10,sql_query,1,corrupted,1
playground-series-s4e10,sql_query,2,clean,0
playground-series-s4e10,sql_query,2,corrupted,1
playground-series-s4e10,sql_query,3,clean,0
playground-series-s4e10,sql_query,3,corrupted,3
playground-series-s4e10,ml_inference_classification,1,clean,1
playground-series-s4e10,ml_inference_classification,1,corrupted,4
playground-series-s4e10,ml_inference_classification,2,clean,1
playground-series-s4e10,ml_inference_classification,2,corrupted,1
playground-series-s4e10,ml_inference_classification,3,clean,1
playground-series-s4e10,ml_inference_classification,3,corrupted,2
playground-series-s4e10,webpage_generation,1,clean,0
playground-series-s4e10,webpage_generation,1,corrupted,3
playground-series-s4e10,webpage_generation,2,clean,0
playground-series-s4e10,webpage_generation,2,corrupted,3
playground-series-s4e10,webpage_generation,3,clean,0
playground-series-s4e10,webpage_generation,3,corrupted,1
