,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,bi_0,success,success,deequ,None,33,31,1,3
1,bi_0,success,success,deequ,column_skipped,30,28,0,2
2,bi_0,success,success,gpt-4o,None,7,6,0,1
3,bi_0,success,success,gpt-4o,with_deequ,7,6,0,1
4,bi_0,success,success,gpt-4o,with_experience,6,5,0,1
5,bi_1,success,success,deequ,None,33,31,1,3
6,bi_1,success,success,deequ,column_skipped,30,28,0,2
7,bi_1,success,success,gpt-4o,None,4,4,0,0
8,bi_1,success,success,gpt-4o,with_deequ,4,4,0,0
9,bi_1,success,success,gpt-4o,with_experience,4,4,0,0
10,bi_2,success,success,deequ,None,33,31,1,3
11,bi_2,success,success,deequ,column_skipped,30,28,0,2
12,bi_2,success,success,gpt-4o,None,4,4,0,0
13,bi_2,success,success,gpt-4o,with_deequ,4,4,0,0
14,bi_2,success,success,gpt-4o,with_experience,4,4,0,0
15,bi_3,success,success,deequ,None,33,31,1,3
16,bi_3,success,success,deequ,column_skipped,30,28,0,2
17,bi_3,success,success,gpt-4o,None,8,7,0,1
18,bi_3,success,success,gpt-4o,with_deequ,7,6,0,1
19,bi_3,success,success,gpt-4o,with_experience,4,3,0,1
20,bi_4,success,success,deequ,None,33,31,1,3
21,bi_4,success,success,deequ,column_skipped,30,28,0,2
22,bi_4,success,success,gpt-4o,None,2,2,0,0
23,bi_4,success,success,gpt-4o,with_deequ,4,4,0,0
24,bi_4,success,success,gpt-4o,with_experience,4,4,0,0
25,bi_5,success,success,deequ,None,33,31,1,3
26,bi_5,success,success,deequ,column_skipped,30,28,0,2
27,bi_5,success,success,gpt-4o,None,3,2,0,1
28,bi_5,success,success,gpt-4o,with_deequ,7,6,0,1
29,bi_5,success,success,gpt-4o,with_experience,5,4,0,1
30,bi_6,success,success,deequ,None,33,31,1,3
31,bi_6,success,success,deequ,column_skipped,30,28,0,2
32,bi_6,success,success,gpt-4o,None,11,10,0,1
33,bi_6,success,success,gpt-4o,with_deequ,15,14,0,1
34,bi_6,success,success,gpt-4o,with_experience,12,11,0,1
35,bi_7,success,success,deequ,None,33,31,1,3
36,bi_7,success,success,deequ,column_skipped,30,28,0,2
37,bi_7,success,success,gpt-4o,None,11,10,0,1
38,bi_7,success,success,gpt-4o,with_deequ,7,6,0,1
39,bi_7,success,success,gpt-4o,with_experience,9,8,0,1
40,bi_8,success,success,deequ,None,33,31,1,3
41,bi_8,success,success,deequ,column_skipped,30,28,0,2
42,bi_8,success,success,gpt-4o,None,6,6,0,0
43,bi_8,success,success,gpt-4o,with_deequ,6,6,0,0
44,bi_8,success,success,gpt-4o,with_experience,6,6,0,0
45,bi_9,success,success,deequ,None,33,31,1,3
46,bi_9,success,success,deequ,column_skipped,30,28,0,2
47,bi_9,success,success,gpt-4o,None,8,7,0,1
48,bi_9,success,success,gpt-4o,with_deequ,8,7,0,1
49,bi_9,success,success,gpt-4o,with_experience,12,11,0,1
50,dev_0,success,success,deequ,None,33,31,1,3
51,dev_0,success,success,deequ,column_skipped,30,28,0,2
52,dev_0,success,success,gpt-4o,None,4,4,0,0
53,dev_0,success,success,gpt-4o,with_deequ,7,7,0,0
54,dev_0,success,success,gpt-4o,with_experience,6,6,0,0
55,dev_1,success,success,deequ,None,33,31,1,3
56,dev_1,success,success,deequ,column_skipped,30,28,0,2
57,dev_1,success,success,gpt-4o,None,3,1,0,2
58,dev_1,success,success,gpt-4o,with_deequ,2,1,0,1
59,dev_1,success,success,gpt-4o,with_experience,2,1,0,1
60,dev_2,success,success,deequ,None,33,31,1,3
61,dev_2,success,success,deequ,column_skipped,30,28,0,2
62,dev_2,success,success,gpt-4o,None,7,7,0,0
63,dev_2,success,success,gpt-4o,with_deequ,6,6,0,0
64,dev_2,success,success,gpt-4o,with_experience,6,6,0,0
65,dev_3,success,success,deequ,None,33,31,1,3
66,dev_3,success,success,deequ,column_skipped,30,28,0,2
67,dev_3,success,success,gpt-4o,None,4,4,0,0
68,dev_3,success,success,gpt-4o,with_deequ,6,6,0,0
