,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,classification_0,0.6954051962322305,error,gpt-4o,None,5,5,0,0
1,classification_0,0.6954051962322305,error,gpt-4o,with_deequ,12,11,0,1
2,classification_0,0.6954051962322305,error,gpt-4o,with_experience,13,11,0,2
3,classification_1,0.8302009948516321,error,gpt-4o,None,10,9,0,1
4,classification_1,0.8302009948516321,error,gpt-4o,with_deequ,25,23,0,2
5,classification_1,0.8302009948516321,error,gpt-4o,with_experience,24,22,0,2
6,classification_2,0.5,0.5,gpt-4o,None,10,9,0,1
7,classification_2,0.5,0.5,gpt-4o,with_deequ,20,18,0,2
8,classification_2,0.5,0.5,gpt-4o,with_experience,25,23,0,2
9,classification_3,0.5,0.5,gpt-4o,None,20,18,1,3
10,classification_3,0.5,0.5,gpt-4o,with_deequ,20,18,1,3
11,classification_3,0.5,0.5,gpt-4o,with_experience,20,17,0,3
12,classification_4,0.8324193276181527,error,gpt-4o,None,11,10,0,1
13,classification_4,0.8324193276181527,error,gpt-4o,with_deequ,20,18,0,2
14,classification_4,0.8324193276181527,error,gpt-4o,with_experience,12,11,0,1
15,classification_5,0.8056302906445014,0.7382699975549377,gpt-4o,None,17,15,1,3
16,classification_5,0.8056302906445014,0.7382699975549377,gpt-4o,with_deequ,25,24,1,2
17,classification_5,0.8056302906445014,0.7382699975549377,gpt-4o,with_experience,16,15,0,1
18,classification_6,0.8093515169188646,error,gpt-4o,None,16,15,0,1
19,classification_6,0.8093515169188646,error,gpt-4o,with_deequ,17,16,0,1
20,classification_6,0.8093515169188646,error,gpt-4o,with_experience,16,15,1,2
21,classification_7,0.6399617327104087,error,gpt-4o,None,11,10,0,1
22,classification_7,0.6399617327104087,error,gpt-4o,with_deequ,11,10,0,1
23,classification_7,0.6399617327104087,error,gpt-4o,with_experience,8,7,0,1
24,classification_8,0.8102656849188768,error,gpt-4o,None,16,15,1,2
25,classification_8,0.8102656849188768,error,gpt-4o,with_deequ,17,16,0,1
26,classification_8,0.8102656849188768,error,gpt-4o,with_experience,23,22,0,1
27,classification_9,0.699172844740549,error,gpt-4o,None,5,5,0,0
28,classification_9,0.699172844740549,error,gpt-4o,with_deequ,11,10,0,1
29,classification_9,0.699172844740549,error,gpt-4o,with_experience,10,9,0,1
